date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
2016-01-11T16:00:00.000Z,60,30,19.89,47.5966666666667,19.2,44.79,19.79,44.73,19,45.5666666666667,17.1666666666667,55.2, 7.026666666666669947,84.2566666666667,17.2,41.6266666666667,18.2,48.9,17.0333333333333,45.53, 6.5999999999999996e+00,733.5,92, 7.00000000000000000,63, 5.2999999999999998e+00,13.2754331571049988270,13.2754331571049988270
2016-01-11T16:10:00.000Z,60,30,19.89,46.6933333333333,19.2,44.7225,19.79,44.79,19,45.9925,17.1666666666667,55.2, 6.833333333333330373,84.0633333333333,17.2,41.56,18.2,48.8633333333333,17.0666666666667,45.56, 6.4833333333333298e+00,733.6,92, 6.66666666666666963,59.1666666666667, 5.2000000000000002e+00,18.6061949818395078182,18.6061949818395078182
2016-01-11T16:20:00.000Z,50,30,19.89,46.3,19.2,44.6266666666667,19.79,44.9333333333333,18.9266666666667,45.89,17.1666666666667,55.09, 6.559999999999999609,83.1566666666667,17.2,41.4333333333333,18.2,48.73,17,45.5, 6.3666666666666698e+00,733.7,92, 6.33333333333333037,55.3333333333333, 5.0999999999999996e+00,28.6426681675948202610,28.6426681675948202610
2016-01-11T16:30:00.000Z,50,40,19.89,46.0666666666667,19.2,44.59,19.79,45,18.89,45.7233333333333,17.1666666666667,55.09, 6.433333333333330017,83.4233333333333,17.1333333333333,41.29,18.1,48.59,17,45.4, 6.2500000000000000e+00,733.8,92, 6.00000000000000000,51.5, 5.0000000000000000e+00,45.4103894997388124466,45.4103894997388124466
2016-01-11T16:40:00.000Z,60,40,19.89,46.3333333333333,19.2,44.53,19.79,45,18.89,45.53,17.2,55.09, 6.366666666666669805,84.8933333333333,17.2,41.23,18.1,48.59,17,45.4, 6.1333333333333302e+00,733.9,92, 5.66666666666666963,47.6666666666667, 4.9000000000000004e+00,10.0840965518727898598,10.0840965518727898598
2016-01-11T16:50:00.000Z,50,40,19.89,46.0266666666667,19.2,44.5,19.79,44.9333333333333,18.89,45.73,17.1333333333333,55.03, 6.299999999999999822,85.7666666666667,17.1333333333333,41.26,18.1,48.59,17,45.29, 6.0166666666666702e+00,734,92, 5.33333333333333037,43.8333333333333, 4.7999999999999998e+00,44.9194842483848333359,44.9194842483848333359
2016-01-11T17:00:00.000Z,60,50,19.89,45.7666666666667,19.2,44.5,19.79,44.9,18.89,45.79,17.1,54.9666666666667, 6.263333333333330089,86.09,17.1333333333333,41.2,18.1,48.59,17,45.29, 5.9000000000000004e+00,734.1,92, 5.00000000000000000,40, 4.7000000000000002e+00,47.2337634302675724030,47.2337634302675724030
2016-01-11T17:10:00.000Z,60,50,19.8566666666667,45.56,19.2,44.5,19.73,44.9,18.89,45.8633333333333,17.1,54.9, 6.190000000000000391,86.4233333333333,17.1,41.2,18.1,48.59,17,45.29, 5.9166666666666696e+00,734.166666666667,91.8333333333333, 5.16666666666666963,40, 4.6833333333333300e+00,33.0398896243423223495,33.0398896243423223495
2016-01-11T17:20:00.000Z,60,40,19.79,45.5975,19.2,44.4333333333333,19.73,44.79,18.89,45.79,17.1666666666667,55, 6.123333333333330408,87.2266666666667,17.1666666666667,41.4,18.1,48.59,17,45.29, 5.9333333333333300e+00,734.233333333333,91.6666666666667, 5.33333333333333037,40, 4.6666666666666696e+00,31.4557021949440240860,31.4557021949440240860
2016-01-11T17:30:00.000Z,70,40,19.8566666666667,46.09,19.23,44.4,19.79,44.8633333333333,18.89,46.0966666666667,17.1,55, 6.190000000000000391,87.6266666666667,17.2,41.5,18.1,48.59,17,45.29, 5.9500000000000002e+00,734.3,91.5, 5.50000000000000000,40, 4.6500000000000004e+00, 3.0893135233782231808, 3.0893135233782231808
